City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,kalmunai,LK,2019-12-31 06:04:05,7.42,81.82,81.27,77,86,9.22,overcast clouds,0.0,0.0
1,san jeronimo,PE,2019-12-31 06:04:06,-13.65,-73.37,50.0,96,100,1.97,light rain,0.31,0.0
2,bambous virieux,MU,2019-12-31 06:04:06,-20.34,57.76,81.0,88,75,12.75,shower rain,0.0,0.0
3,atuona,PF,2019-12-31 06:04:06,-9.8,-139.03,80.35,75,1,14.94,clear sky,0.0,0.0
4,hobart,AU,2019-12-31 06:04:06,-42.88,147.33,69.8,22,40,19.46,scattered clouds,0.0,0.0
5,vaini,IN,2019-12-31 06:04:07,15.34,74.49,75.2,44,40,2.66,scattered clouds,0.0,0.0
6,victoria,BN,2019-12-31 06:00:18,5.28,115.24,86.0,70,75,11.41,broken clouds,0.0,0.0
7,albany,US,2019-12-31 06:04:07,42.65,-73.75,35.01,86,90,3.36,light intensity drizzle,0.0,0.0
8,petropavlovsk-kamchatskiy,RU,2019-12-31 06:04:08,53.05,158.65,12.2,72,75,2.24,broken clouds,0.0,0.0
9,punta arenas,CL,2019-12-31 06:04:08,-53.16,-70.91,42.8,81,95,9.17,overcast clouds,0.0,0.0
10,agadir,MA,2019-12-31 06:02:35,30.42,-9.58,44.6,75,0,5.82,clear sky,0.0,0.0
11,kruisfontein,ZA,2019-12-31 06:04:08,-34.0,24.73,65.16,70,0,3.24,clear sky,0.0,0.0
12,busselton,AU,2019-12-31 06:04:09,-33.64,115.35,84.0,20,0,16.98,clear sky,0.0,0.0
13,palu,ID,2019-12-31 06:04:09,-0.9,119.87,77.18,88,27,4.07,moderate rain,4.31,0.0
14,coihaique,CL,2019-12-31 06:04:09,-45.58,-72.07,50.0,76,45,2.24,scattered clouds,0.0,0.0
15,arraial do cabo,BR,2019-12-31 06:04:09,-22.97,-42.02,75.07,88,0,14.61,clear sky,0.0,0.0
16,deputatskiy,RU,2019-12-31 06:04:10,69.3,139.9,-22.83,64,57,1.45,broken clouds,0.0,0.0
17,phuket,TH,2019-12-31 06:04:10,7.89,98.4,89.6,52,20,11.41,few clouds,0.0,0.0
18,barcelos,BR,2019-12-31 06:04:10,-0.97,-62.93,73.4,98,100,2.3,overcast clouds,0.0,0.0
19,maunabo,PR,2019-12-31 05:59:15,18.01,-65.9,75.99,96,34,4.54,light rain,0.12,0.0
20,puerto ayora,EC,2019-12-31 06:04:11,-0.74,-90.35,73.0,85,62,5.01,broken clouds,0.0,0.0
21,bluff,AU,2019-12-31 06:04:11,-23.58,149.07,94.5,18,0,11.05,clear sky,0.0,0.0
22,ushuaia,AR,2019-12-31 06:04:11,-54.81,-68.31,46.4,49,40,18.34,scattered clouds,0.0,0.0
