City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,kalmunai,LK,81.27,overcast clouds,7.42,81.82,VS Villa
2,bambous virieux,MU,81.0,shower rain,-20.34,57.76,Casa Tia Villa
3,atuona,PF,80.35,clear sky,-9.8,-139.03,Villa Enata
5,vaini,IN,75.2,scattered clouds,15.34,74.49,Dandeli Lake County
12,busselton,AU,84.0,clear sky,-33.64,115.35,Observatory Guest House
15,arraial do cabo,BR,75.07,clear sky,-22.97,-42.02,Pousada Porto Praia
18,barcelos,BR,73.4,overcast clouds,-0.97,-62.93,Barco Hotel Princesa Amazonia
20,puerto ayora,EC,73.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
26,mahibadhoo,MV,81.91,scattered clouds,3.78,72.97,Omadhoo Inn
27,avarua,CK,77.0,overcast clouds,-21.21,-159.78,Paradise Inn
29,luwuk,ID,84.85,scattered clouds,-0.95,122.79,Hotel Santika Luwuk
30,cap malheureux,MU,81.0,shower rain,-19.98,57.61,Pereybere Hotel & Spa
31,la gomera,GT,74.07,overcast clouds,14.09,-91.05,Hotel Colonial Doña Manuelita
44,mataura,NZ,73.0,scattered clouds,-46.19,168.86,Ellie's Villa
53,rikitea,PF,77.45,overcast clouds,-23.12,-134.97,Pension Maro'i
58,aden,YE,82.38,scattered clouds,12.79,45.03,Sama Emirate Hotel
60,sur,OM,72.77,clear sky,22.57,59.53,Sur Plaza Hotel
61,jamestown,AU,79.92,clear sky,-33.21,138.6,Jamestown Motel Terraces
63,caravelas,BR,70.57,clear sky,-17.73,-39.27,Pousada Dos Navegantes
65,neiafu,TO,80.6,broken clouds,-18.65,-173.98,Mystic Sands
68,cidreira,BR,74.84,scattered clouds,-30.17,-50.22,Pond Country Club
72,methven,NZ,72.0,clear sky,-43.63,171.65,Brinkley Resort
76,the valley,AI,77.0,light intensity shower rain,18.22,-63.06,CeBlue Villas & Beach Resort
77,bonthe,SL,75.52,few clouds,7.53,-12.5,Bonthe Holiday Village
78,port alfred,ZA,70.0,overcast clouds,-33.59,26.89,The Halyards Hotel
85,hithadhoo,MV,82.04,clear sky,-0.6,73.08,Scoop Guest House
86,tuatapere,NZ,73.0,scattered clouds,-46.13,167.69,Ron and Tony's Bed & Breakfast
87,taperoa,BR,74.07,overcast clouds,-7.21,-36.83,Construir material de construção
89,alofi,NU,82.4,broken clouds,-19.06,-169.92,Taloa Heights
91,butaritari,KI,83.62,overcast clouds,3.07,172.79,Isles Sunset Lodge
94,cayenne,GF,75.2,scattered clouds,4.94,-52.33,Hôtel Le Dronmi
105,kapaa,US,78.8,overcast clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
113,serrana,BR,73.4,overcast clouds,-21.21,-47.61,CMS Plaza Hotel
117,mogadishu,SO,82.4,few clouds,2.04,45.34,Olympic Hotel
121,port-gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
122,esperance,AU,77.0,clear sky,-33.86,121.89,Hospitality Esperance
130,obo,CF,73.27,broken clouds,5.39,26.49,
139,cape town,ZA,70.0,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
149,mahebourg,MU,81.0,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
151,antalaha,MG,79.92,overcast clouds,-14.9,50.28,Hotel Vitasoa
165,santa cruz do sul,BR,70.0,broken clouds,-29.71,-52.43,Hotel Antonio's
166,pisco,PE,70.0,scattered clouds,-13.71,-76.2,Hostal San Isidro Oficial
168,bafia,CM,70.99,broken clouds,4.74,11.22,Auberge le Mazerolle
169,inirida,CO,73.71,broken clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
176,nakasongola,UG,76.01,broken clouds,1.32,32.46,Norena Hotel
186,mvuma,ZW,76.6,overcast clouds,-19.28,30.53,
188,georgetown,GY,75.2,scattered clouds,6.8,-58.16,Kanhai's Center
199,quatre cocos,MU,81.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
220,bubaque,GW,79.07,few clouds,11.28,-15.83,Casa Dora
223,mancora,PE,76.87,broken clouds,-4.1,-81.05,Máncora Marina Hotel
229,rock sound,BS,76.48,scattered clouds,24.9,-76.2,Rock Sound Club
230,hilo,US,73.4,broken clouds,19.71,-155.08,Hilo Seaside Hotel
240,pundaguitan,PH,81.88,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
245,pout,SN,75.2,broken clouds,14.77,-17.06,chez sada niang
248,kudat,MY,77.0,heavy intensity shower rain,6.89,116.84,Dream Garden Hotel
251,carnarvon,ZA,70.43,clear sky,-30.97,22.13,Maritza Bed & Breakfast
254,kahului,US,75.2,clear sky,20.89,-156.47,Maui Seaside Hotel
256,guasdualito,VE,74.46,broken clouds,7.24,-70.73,Hotel Cuibas
264,naze,NG,71.6,few clouds,5.43,7.07,Female Hostel C
273,sinnamary,GF,79.16,broken clouds,5.38,-52.96,ALETHEIA Appartement Sinnamary
278,jiazi,CN,75.2,broken clouds,19.61,110.49,
280,lisala,CD,73.17,overcast clouds,2.15,21.52,
282,imbituba,BR,77.0,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
283,sambava,MG,79.21,broken clouds,-14.27,50.17,Melrose
288,saquarema,BR,77.0,few clouds,-22.93,-42.51,Itaúna Hostel
290,montepuez,MZ,76.51,overcast clouds,-13.13,39.0,RESIDÊNCIAL LANCHONETE
298,ugoofaaru,MV,81.14,overcast clouds,5.67,73.0,Ungoofaaru Inn
300,sao filipe,CV,73.56,overcast clouds,14.9,-24.5,Tortuga B&B
302,salalah,OM,77.0,few clouds,17.01,54.1,HAMDAN PLAZA HOTEL
313,biak,ID,84.85,scattered clouds,-0.91,122.88,Villa Mas Biak
321,bambanglipuro,ID,82.27,overcast clouds,-7.95,110.28,Puri Brata
336,coahuayana,MX,71.6,clear sky,18.62,-100.35,
338,adelaide,AU,73.99,clear sky,-34.93,138.6,The Chancellor on Currie
340,musoma,TZ,70.0,few clouds,-1.5,33.81,New Peninsula Hotel
344,kieta,PG,84.06,overcast clouds,-6.22,155.63,
346,talara,PE,71.26,scattered clouds,-4.58,-81.27,Hostal Oro Negro
347,coolum beach,AU,84.0,overcast clouds,-26.53,153.09,Coolum Beach Resort
349,maiquetia,VE,77.0,few clouds,10.6,-66.95,Eurobuilding Express Maiquetía
350,grand gaube,MU,81.0,shower rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
355,burnie,AU,72.0,clear sky,-41.05,145.91,Beachfront Voyager Motor Inn
359,puerto escondido,MX,78.8,scattered clouds,15.86,-97.07,Aldea del Bazar Hotel and Spa
362,puerto cabezas,NI,73.09,broken clouds,14.04,-83.39,Hotel Caribe
367,ewa beach,US,77.0,clear sky,21.32,-158.01,Parkside By Gentry
369,rincon,PA,72.95,overcast clouds,8.46,-82.28,
377,pedro juan caballero,PY,73.06,overcast clouds,-22.55,-55.74,Hotel Pousada do Bosque
390,whyalla,AU,74.97,clear sky,-33.04,137.58,Foreshore Motor Inn
397,hervey bay,AU,84.99,broken clouds,-25.3,152.85,Shelly Bay Resort
402,bathsheba,BB,78.8,scattered clouds,13.22,-59.52,Atlantis Hotel
403,ixtapa,MX,73.4,few clouds,20.71,-105.21,Container Inn Puerto Vallarta
404,yenagoa,NG,74.66,scattered clouds,4.92,6.26,Amba Hotels Limited
405,champerico,MX,73.4,clear sky,16.38,-93.6,
420,tezu,IN,73.02,clear sky,27.93,96.16,Circuit House
422,kloulklubed,PW,78.8,overcast clouds,7.04,134.26,Storyboard Beach Resort
427,san patricio,PY,76.15,scattered clouds,-26.98,-56.83,"Granja ""La Blanca"""
430,nisia floresta,BR,78.8,scattered clouds,-6.09,-35.21,Rancho Crepusculo
437,cangucu,BR,75.99,scattered clouds,-31.39,-52.68,Hotel Telesca
440,san pedro,AR,72.0,overcast clouds,-33.68,-59.66,Posada de los Suenos
441,cruzeiro do sul,BR,71.96,overcast clouds,-7.63,-72.67,Casa Rosa
455,praya,ID,84.2,broken clouds,-8.71,116.27,Grand Royal B.I.L Lombok
456,ahuimanu,US,77.0,broken clouds,21.44,-157.84,Paradise Bay Resort
457,caririacu,BR,78.8,broken clouds,-7.04,-39.28,Chacara Emilia Cavalcante
458,rio branco,BR,77.0,overcast clouds,-9.98,-67.82,João Paulo Hotel
461,rio grande,BR,75.99,broken clouds,-32.03,-52.1,Swan Express Rio Grande
469,kaeo,NZ,73.99,scattered clouds,-35.1,173.78,Bushido Lodge
473,busembatia,UG,71.8,overcast clouds,0.77,33.62,STAINER
474,launceston,AU,73.4,clear sky,-41.43,147.14,Hotel Grand Chancellor Launceston
476,duiwelskloof,ZA,73.99,overcast clouds,-23.69,30.14,Mokwakwaila
479,cockburn town,TC,77.5,clear sky,21.46,-71.14,Osprey Beach Hotel
481,cotonou,BJ,73.4,mist,6.37,2.43,Hotel du Port
482,guatire,VE,77.0,few clouds,10.47,-66.54,Parque Residencial Canaima I
488,omboue,GA,76.37,broken clouds,-1.57,9.26,Hotel Olako
492,maroantsetra,MG,81.37,overcast clouds,-15.43,49.74,La Pagode
499,navadwip,IN,73.17,clear sky,23.42,88.37,Conch Building
506,zaraza,VE,71.96,overcast clouds,9.35,-65.33,Hotel Zaraza
520,maragogi,BR,79.92,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
523,ahipara,NZ,73.99,clear sky,-35.17,173.16,Ahipara Holiday Park
524,waipawa,NZ,73.99,clear sky,-39.94,176.59,T A Commercial Hotel
526,sale,AU,72.0,broken clouds,-38.11,147.06,THE WURRUK MOTEL
539,boa vista,BR,80.6,overcast clouds,2.82,-60.67,Aipana Plaza Hotel
540,soyo,AO,78.8,few clouds,-6.13,12.37,Hotel Mpampa
543,garowe,SO,78.44,few clouds,8.41,48.48,Curubo Hotel
