City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,figline valdarno,IT,2019-12-26 18:43:56,43.62,11.47,48.0,100,78,6.93
1,bilibino,RU,2019-12-26 18:43:57,68.06,166.44,-30.75,100,17,0.49
2,marsh harbour,BS,2019-12-26 18:43:57,26.54,-77.06,76.08,77,94,21.39
3,buala,SB,2019-12-26 18:43:57,-8.15,159.59,77.85,79,92,4.07
4,albany,US,2019-12-26 18:43:57,42.65,-73.75,41.0,55,90,7.9
5,raton,US,2019-12-26 18:43:20,36.9,-104.44,42.8,55,1,5.82
6,hilo,US,2019-12-26 18:42:24,19.71,-155.08,75.99,78,1,5.82
7,chuy,UY,2019-12-26 18:43:58,-33.69,-53.46,81.91,60,79,4.05
8,rikitea,PF,2019-12-26 18:39:54,-23.12,-134.97,73.67,89,100,11.54
9,port alfred,ZA,2019-12-26 18:43:59,-33.59,26.89,68.0,80,56,5.99
10,tiksi,RU,2019-12-26 18:43:59,71.64,128.87,-25.42,99,100,2.84
11,busselton,AU,2019-12-26 18:43:59,-33.64,115.35,62.01,61,100,9.28
12,richards bay,ZA,2019-12-26 18:44:00,-28.77,32.06,75.58,87,100,5.66
13,paranapanema,BR,2019-12-26 18:44:00,-23.39,-48.72,88.77,35,0,5.99
14,hokitika,NZ,2019-12-26 18:44:00,-42.72,170.96,55.69,79,86,4.72
15,khatanga,RU,2019-12-26 18:40:54,71.98,102.47,-24.23,97,100,3.0
16,saint george,GR,2019-12-26 18:44:00,39.45,22.34,51.01,53,40,13.87
17,sept-iles,CA,2019-12-26 18:43:03,50.2,-66.38,19.0,52,5,13.87
18,marsabit,KE,2019-12-26 18:44:01,2.34,37.99,82.06,42,0,12.86
19,shalinskoye,RU,2019-12-26 18:44:02,55.72,93.76,-9.49,93,98,9.15
20,tuktoyaktuk,CA,2019-12-26 18:44:02,69.44,-133.03,-23.8,74,20,9.17
21,micheweni,TZ,2019-12-26 18:44:02,-4.97,39.83,83.03,79,7,18.32
22,new norfolk,AU,2019-12-26 18:44:02,-42.78,147.06,52.0,76,40,6.93
23,vao,EE,2019-12-26 18:44:03,59.1,26.19,32.14,90,100,5.55
24,vaini,IN,2019-12-26 18:44:03,15.34,74.49,69.12,88,26,1.7
25,vagay,RU,2019-12-26 18:44:03,57.94,69.02,-9.35,95,0,6.49
26,beira,ES,2019-12-26 18:44:04,43.2,-8.36,52.0,76,0,2.24
27,pleshanovo,RU,2019-12-26 18:44:04,57.46,28.17,35.6,93,99,6.71
28,nantucket,US,2019-12-26 18:42:15,41.28,-70.1,42.8,69,75,10.29
29,japura,ID,2019-12-26 18:44:05,-0.42,102.29,73.78,97,61,1.99
30,butaritari,KI,2019-12-26 18:39:57,3.07,172.79,83.88,79,89,11.65
31,lompoc,US,2019-12-26 18:44:05,34.64,-120.46,54.0,87,1,4.83
32,ilovlya,RU,2019-12-26 18:44:05,49.31,43.98,23.0,79,96,2.24
33,ushuaia,AR,2019-12-26 18:43:38,-54.81,-68.31,64.4,69,40,12.75
34,kodiak,US,2019-12-26 18:40:54,39.95,-94.76,35.01,59,90,9.17
35,kapaa,US,2019-12-26 18:44:06,22.08,-159.32,71.01,88,1,6.93
36,harrison,US,2019-12-26 18:44:06,39.26,-84.82,64.0,67,40,6.93
37,ribeira grande,PT,2019-12-26 18:44:06,38.52,-28.7,66.2,82,75,31.09
38,port elizabeth,US,2019-12-26 18:44:07,39.31,-74.98,52.0,62,1,4.68
39,zverinogolovskoye,RU,2019-12-26 18:44:07,54.46,64.85,6.46,83,48,7.49
40,punta arenas,CL,2019-12-26 18:44:07,-53.16,-70.91,60.8,47,75,14.99
41,inhambupe,BR,2019-12-26 18:44:07,-11.79,-38.36,89.06,43,73,11.77
42,lebu,ET,2019-12-26 18:39:57,8.96,38.73,60.8,63,20,11.41
43,pacific grove,US,2019-12-26 18:44:08,36.62,-121.92,54.0,71,20,5.82
44,port hardy,CA,2019-12-26 18:44:09,50.7,-127.42,41.0,86,90,20.8
45,ende,ID,2019-12-26 18:44:09,-8.84,121.65,83.8,73,100,4.81
46,bondo,CD,2019-12-26 18:44:09,3.81,23.69,75.52,40,10,1.05
47,barrow,AR,2019-12-26 18:44:10,-38.31,-60.23,85.1,15,95,11.05
48,mar del plata,AR,2019-12-26 18:44:10,-46.43,-67.52,73.2,27,32,21.65
49,provideniya,RU,2019-12-26 18:44:10,64.42,-173.23,-11.52,80,0,8.66
50,thompson,CA,2019-12-26 18:44:11,55.74,-97.86,14.0,92,90,4.7
51,georgetown,GY,2019-12-26 18:39:55,6.8,-58.16,87.8,70,40,9.17
52,traverse city,US,2019-12-26 18:41:19,44.76,-85.62,54.0,76,40,13.87
53,okinawa,BO,2019-12-26 18:44:11,-17.22,-62.89,80.6,83,75,13.87
54,hay river,CA,2019-12-26 18:44:11,60.82,-115.79,10.4,85,20,8.05
55,east london,ZA,2019-12-26 18:41:58,-33.02,27.91,68.0,77,20,3.36
56,sobolevo,RU,2019-12-26 18:44:12,54.43,31.9,36.82,96,100,4.07
57,jackson,US,2019-12-26 18:40:55,43.48,-110.76,21.2,67,75,2.68
58,esperance,AU,2019-12-26 18:40:40,-33.86,121.89,68.0,88,90,13.87
59,bluff,AU,2019-12-26 18:44:13,-23.58,149.07,69.4,77,0,11.34
60,bambous virieux,MU,2019-12-26 18:44:13,-20.34,57.76,77.0,100,75,5.82
61,dingle,PH,2019-12-26 18:44:13,11.0,122.67,73.74,91,26,2.62
62,palmer,AU,2019-12-26 18:44:13,-34.85,139.16,75.99,49,74,1.12
63,avarua,CK,2019-12-26 18:44:14,-21.21,-159.78,73.4,73,18,9.17
64,cape town,ZA,2019-12-26 18:44:14,-33.93,18.42,62.01,51,20,13.87
65,hobart,AU,2019-12-26 18:44:14,-42.88,147.33,52.0,76,40,6.93
66,ugoofaaru,MV,2019-12-26 18:44:14,5.67,73.0,82.02,81,8,16.69
67,boende,CD,2019-12-26 18:44:15,-0.28,20.88,74.25,87,63,2.17
68,lengshuijiang,CN,2019-12-26 18:44:15,27.66,111.45,37.29,71,48,2.42
69,saint anthony,US,2019-12-26 18:41:42,43.97,-111.68,25.0,85,75,3.36
70,ketchikan,US,2019-12-26 18:40:47,55.34,-131.65,44.6,87,90,23.04
71,castro,CL,2019-12-26 18:40:36,-42.48,-73.76,57.2,82,90,14.99
72,katsuura,JP,2019-12-26 18:44:16,33.93,134.5,53.6,76,40,17.22
73,gorgan,IR,2019-12-26 18:44:16,36.84,54.43,50.0,66,21,2.64
74,bredasdorp,ZA,2019-12-26 18:44:16,-34.53,20.04,59.0,58,67,14.99
75,pevek,RU,2019-12-26 18:44:16,69.7,170.27,-13.36,96,100,3.6
76,faanui,PF,2019-12-26 18:44:17,-16.48,-151.75,76.91,81,100,13.62
77,floro,NO,2019-12-26 18:44:17,61.6,5.03,33.8,72,1,8.05
78,gamba,CN,2019-12-26 18:44:17,28.28,88.52,7.7,57,0,3.89
79,bourail,NC,2019-12-26 18:44:17,-21.57,165.5,68.68,90,19,1.03
80,saint-philippe,CA,2019-12-26 18:41:53,45.36,-73.48,25.0,67,40,12.75
81,port hedland,AU,2019-12-26 18:44:18,-20.31,118.58,86.0,70,45,6.93
82,kavieng,PG,2019-12-26 18:44:18,-2.57,150.8,82.83,76,100,10.6
83,lagoa,PT,2019-12-26 18:44:18,37.14,-8.45,64.4,68,100,6.93
84,luganville,VU,2019-12-26 18:44:19,-15.51,167.18,77.0,88,75,2.24
85,nanortalik,GL,2019-12-26 18:44:19,60.14,-45.24,31.35,51,57,6.15
86,santa barbara,US,2019-12-26 18:44:19,34.42,-119.7,55.0,87,1,5.17
87,hermanus,ZA,2019-12-26 18:44:19,-34.42,19.24,57.99,65,43,3.0
88,bandar-e lengeh,IR,2019-12-26 18:44:20,26.56,54.88,73.4,46,0,9.62
89,mataura,NZ,2019-12-26 18:44:20,-46.19,168.86,52.0,86,100,8.01
90,chokurdakh,RU,2019-12-26 18:44:20,70.62,147.9,-21.93,98,48,0.58
91,henties bay,NA,2019-12-26 18:44:20,-22.12,14.28,63.0,79,78,5.01
92,saint-joseph,FR,2019-12-26 18:44:20,43.56,6.97,54.0,93,27,3.36
93,puerto ayora,EC,2019-12-26 18:41:24,-0.74,-90.35,84.2,62,40,11.41
94,arraial do cabo,BR,2019-12-26 18:44:21,-22.97,-42.02,86.0,78,20,26.4
95,laguna,BZ,2019-12-26 18:44:21,16.17,-88.94,78.8,74,40,6.93
96,dalby,AU,2019-12-26 18:44:22,-27.18,151.26,64.4,88,75,6.93
97,klyuchi,RU,2019-12-26 18:44:22,52.25,79.17,13.3,95,100,3.29
98,nikolskoye,RU,2019-12-26 18:44:22,59.7,30.79,34.0,86,90,6.71
99,cabo san lucas,MX,2019-12-26 18:44:23,22.89,-109.91,75.99,68,40,4.7
100,sorgun,TR,2019-12-26 18:44:23,39.81,35.19,35.65,96,100,12.19
101,mayumba,GA,2019-12-26 18:44:23,-3.44,10.65,79.95,85,65,9.78
102,reserva,AR,2019-12-26 18:44:23,-38.73,-68.18,82.4,20,70,5.82
103,hit,IQ,2019-12-26 18:44:24,33.64,42.83,59.61,39,11,13.18
104,qaanaaq,GL,2019-12-26 18:44:24,77.48,-69.36,-1.23,81,91,7.31
105,ilulissat,GL,2019-12-26 18:43:53,69.22,-51.1,8.6,39,0,4.7
106,najran,SA,2019-12-26 18:44:24,17.54,44.22,62.6,36,99,4.7
107,kisanga,CD,2019-12-26 18:44:25,-11.72,27.4,67.46,95,100,3.87
108,atuona,PF,2019-12-26 18:44:25,-9.8,-139.03,81.1,75,29,19.69
109,gat,SN,2019-12-26 18:44:25,14.69,-16.54,96.8,28,0,6.42
110,shieli,KZ,2019-12-26 18:44:25,44.18,66.74,37.2,51,100,10.51
111,kichera,RU,2019-12-26 18:44:26,55.93,110.1,-5.62,98,100,2.82
112,eyl,SO,2019-12-26 18:44:26,7.98,49.82,78.71,62,46,24.43
113,bayonet point,US,2019-12-26 18:44:26,28.33,-82.68,79.0,83,90,6.93
114,dikson,RU,2019-12-26 18:44:26,73.51,80.55,-16.35,98,96,10.31
115,tiarei,PF,2019-12-26 18:44:27,-17.53,-149.33,80.6,78,75,3.36
116,talnakh,RU,2019-12-26 18:44:27,69.49,88.39,-27.4,74,75,4.47
117,sorland,NO,2019-12-26 18:44:27,67.67,12.69,35.6,69,90,3.36
118,lavrentiya,RU,2019-12-26 18:39:55,65.58,-170.99,-10.08,95,18,9.4
119,woodward,US,2019-12-26 18:42:05,36.43,-99.39,46.4,52,1,8.05
120,camacha,PT,2019-12-26 18:44:28,33.08,-16.33,66.2,82,20,10.29
121,mikhaylovskoye,RU,2019-12-26 18:44:29,43.1,44.64,32.0,69,90,2.24
122,caravelas,BR,2019-12-26 18:44:29,-17.73,-39.27,80.2,73,100,12.8
123,coahuayana,MX,2019-12-26 18:44:29,18.62,-100.35,91.2,30,2,1.79
124,sioux lookout,CA,2019-12-26 18:42:06,50.1,-91.92,23.0,85,90,4.7
125,naryan-mar,RU,2019-12-26 18:44:29,67.67,53.09,2.79,96,100,7.67
126,port victoria,AU,2019-12-26 18:44:30,-34.5,137.49,69.94,58,96,5.39
127,arbagar,RU,2019-12-26 18:44:30,51.94,116.28,-18.6,98,100,1.23
128,santa cruz,BR,2019-12-26 18:44:30,-6.22,-36.02,93.52,34,50,13.73
129,segovia,ES,2019-12-26 18:41:07,40.95,-4.12,55.0,81,84,2.24
130,saskylakh,RU,2019-12-26 18:44:31,71.97,114.09,-33.52,97,0,7.07
131,iqaluit,CA,2019-12-26 18:44:31,63.75,-68.52,10.4,72,90,6.93
132,pyapon,MM,2019-12-26 18:44:31,16.29,95.68,67.75,68,0,4.76
133,mursalimkino,RU,2019-12-26 18:44:31,55.04,58.56,24.33,82,98,4.03
134,qaqortoq,GL,2019-12-26 18:42:29,60.72,-46.03,37.4,25,67,26.4
135,inhambane,MZ,2019-12-26 18:44:32,-23.87,35.38,82.4,88,40,19.46
136,muros,ES,2019-12-26 18:44:32,42.77,-9.06,55.0,76,0,4.7
137,harbour breton,CA,2019-12-26 18:44:33,47.48,-55.8,32.0,100,70,8.99
138,leshukonskoye,RU,2019-12-26 18:44:33,64.9,45.76,21.0,96,100,4.45
139,victoria,BN,2019-12-26 18:40:16,5.28,115.24,78.8,88,75,5.97
140,jamestown,AU,2019-12-26 18:44:33,-33.21,138.6,76.28,21,90,15.93
141,kieta,PG,2019-12-26 18:44:33,-6.22,155.63,78.75,77,100,7.72
142,whitehorse,CA,2019-12-26 18:44:34,60.72,-135.06,30.2,80,75,21.92
143,longyearbyen,NO,2019-12-26 18:44:34,78.22,15.63,8.6,84,87,2.24
144,itarema,BR,2019-12-26 18:44:34,-2.92,-39.92,91.08,43,6,15.95
145,mayo,CA,2019-12-26 18:44:35,63.59,-135.9,32.0,96,90,12.75
146,hithadhoo,MV,2019-12-26 18:41:56,-0.6,73.08,82.83,75,20,3.49
147,myitkyina,MM,2019-12-26 18:44:35,25.38,97.4,55.62,66,0,4.27
148,jamame,SO,2019-12-26 18:44:35,0.07,42.75,80.82,81,0,21.59
149,podor,MR,2019-12-26 18:44:36,16.65,-14.96,91.4,19,0,5.1
150,kavaratti,IN,2019-12-26 18:44:36,10.57,72.64,83.12,68,0,2.71
151,yellowknife,CA,2019-12-26 18:44:36,62.45,-114.38,3.0,77,75,8.05
152,sinnamary,GF,2019-12-26 18:44:36,5.38,-52.96,80.98,81,99,15.52
153,morehead,US,2019-12-26 18:44:37,38.18,-83.43,60.8,58,90,5.82
154,luderitz,NA,2019-12-26 18:44:37,-26.65,15.16,69.8,56,11,25.28
155,port macquarie,AU,2019-12-26 18:44:37,-31.43,152.91,60.01,93,22,6.78
156,isla mujeres,MX,2019-12-26 18:40:02,21.23,-86.73,78.8,69,75,4.7
157,kalmunai,LK,2019-12-26 18:44:38,7.42,81.82,80.4,70,20,10.07
158,salalah,OM,2019-12-26 18:44:38,17.01,54.1,78.8,41,7,16.11
159,la ronge,CA,2019-12-26 18:44:39,55.1,-105.3,21.2,85,75,6.93
160,agogo,GH,2019-12-26 18:44:39,6.8,-1.08,86.4,27,1,0.87
161,shimoda,JP,2019-12-26 18:44:39,34.7,138.93,50.0,93,90,2.24
162,malchin,DE,2019-12-26 18:44:39,53.74,12.76,42.01,86,75,5.82
163,bambanglipuro,ID,2019-12-26 18:44:40,-7.95,110.28,76.57,83,100,2.19
164,cidreira,BR,2019-12-26 18:44:40,-30.17,-50.22,75.85,87,20,10.67
165,tabou,CI,2019-12-26 18:44:40,4.42,-7.36,81.16,74,0,5.1
166,liepaja,LV,2019-12-26 18:44:41,56.52,21.02,37.4,100,35,4.7
167,namibe,AO,2019-12-26 18:44:41,-15.19,12.15,73.9,82,27,9.1
168,portland,US,2019-12-26 18:42:05,43.66,-70.25,33.01,48,75,6.93
